request_url,authority_name,number_of_replies,request_status
https://opramachine.com/alaveteli_pro/info_requests/request_for_fsmc_bid_and_scoring_23,Plumsted Township Board of Education,1,Needs status update
https://opramachine.com/alaveteli_pro/info_requests/request_for_fsmc_bid_and_scoring_21,Ocean Gate School District,1,Needs status update
https://opramachine.com/alaveteli_pro/info_requests/request_for_fsmc_bid_and_scoring_18,Long Beach Island Consolidated School District,1,Needs status update
https://opramachine.com/alaveteli_pro/info_requests/request_for_fsmc_bid_and_scoring_9,Central Regional School District,1,Needs status update
https://opramachine.com/alaveteli_pro/info_requests/request_for_fsmc_bid_and_scoring_7,Berkeley Township School District,1,Needs status update
https://opramachine.com/alaveteli_pro/info_requests/request_for_fsmc_bid_and_scoring_26,Seaside Heights School District,1,Needs status update
https://opramachine.com/alaveteli_pro/info_requests/request_for_fsmc_bid_and_scoring_30,Tuckerton School District,0,Awaiting response
https://opramachine.com/alaveteli_pro/info_requests/request_for_fsmc_bid_and_scoring_29,Trenton Board of Education,1,Needs status update
https://opramachine.com/alaveteli_pro/info_requests/request_for_fsmc_bid_and_scoring_28,Stafford Township School District,0,Awaiting response
https://opramachine.com/alaveteli_pro/info_requests/request_for_fsmc_bid_and_scoring_27,Southern Regional School District,0,Awaiting response
https://opramachine.com/alaveteli_pro/info_requests/request_for_fsmc_bid_and_scoring_25,Point Pleasant Borough School District,0,Awaiting response
https://opramachine.com/alaveteli_pro/info_requests/request_for_fsmc_bid_and_scoring_24,Point Pleasant Beach School District,0,Awaiting response
https://opramachine.com/alaveteli_pro/info_requests/request_for_fsmc_bid_and_scoring_22,Ocean Township School District,0,Awaiting response
https://opramachine.com/alaveteli_pro/info_requests/request_for_fsmc_bid_and_scoring_20,Manasquan Board of Education,0,Awaiting response
https://opramachine.com/alaveteli_pro/info_requests/request_for_fsmc_bid_and_scoring_19,Long Branch Board of Education,0,Awaiting response
https://opramachine.com/alaveteli_pro/info_requests/request_for_fsmc_bid_and_scoring_17,Little Egg Harbor School District,0,Awaiting response
https://opramachine.com/alaveteli_pro/info_requests/request_for_fsmc_bid_and_scoring_16,Lavallette Board of Education,0,Awaiting response
https://opramachine.com/alaveteli_pro/info_requests/request_for_fsmc_bid_and_scoring_15,Lakewood Board of Education,0,Awaiting response
https://opramachine.com/alaveteli_pro/info_requests/request_for_fsmc_bid_and_scoring_14,Lakehurst School District,0,Awaiting response
https://opramachine.com/alaveteli_pro/info_requests/request_for_fsmc_bid_and_scoring_13,Lacey Township School District,0,Awaiting response
https://opramachine.com/alaveteli_pro/info_requests/request_for_fsmc_bid_and_scoring_12,Island Heights School District,0,Awaiting response
https://opramachine.com/alaveteli_pro/info_requests/request_for_fsmc_bid_and_scoring_11,Freehold Township Board of Education,1,Needs status update
https://opramachine.com/alaveteli_pro/info_requests/request_for_fsmc_bid_and_scoring_10,Eagleswood Township Board of Education,0,Awaiting response
https://opramachine.com/alaveteli_pro/info_requests/request_for_fsmc_bid_and_scoring_8,Brick Township School District,0,Awaiting response
https://opramachine.com/alaveteli_pro/info_requests/request_for_fsmc_bid_and_scoring_6,Beach Haven Board of Education,0,Awaiting response
https://opramachine.com/alaveteli_pro/info_requests/request_for_fsmc_bid_and_scoring_5,Bay Head School District,1,Needs status update
